Purchase ID,Datum,Leverantör,Produkt,Kategori,Enhet,Antal,Antal kvar,Pris Ex.m,Locked,Verifikat,Date created,Date modified,Date counted
4,2023-01-11,Slojd Detaljer I Skara Aktiebolag,Poppelplywood 4mm,Plywood,M 2,2,0,507,0,A28,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
5,2023-01-31,Got Wood Goteborg,Plywood Björk 4mm,Plywood,M 2,31.25,7.6,8850,0,A29,2023-12-29T13:09:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
6,2023-02-10,Happy Homes,LADY SUPREME FINISH 40 S0502-Y,Farg,Liter,0.68,0.4,367.2,0,A53,2023-12-29T13:09:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
7,2023-05-17,BOLIST Handelsgruppen Malung,Träskruv TFT 3x16,Skruv,Pkt 250,1,0,71.2,0,A144,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
8,2023-08-11,Happy Homes,Kvistlack Beckers,Farg,Liter,0.5,0,187.2,0,A198,2023-12-29T13:09:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
9,2023-08-11,Happy Homes,Snickerislip Scotte 1066 SEN EMPIRE,Farg,Liter,1,0,168.32,0,A198,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
10,2023-08-11,Happy Homes,Dekorfärg Decor Metall Guld,Farg,Liter,0.75,0.3,320.64,0,A198,2023-12-29T13:09:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
11,2023-08-11,Happy Homes,LYCKE SNICKERI- & LACKFÄRG S2030-Y50R,Farg,Liter,0.68,0,199.2,0,A198,2023-12-29T13:09:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
12,2023-08-18,Happy Homes,QUICK B UNIVERSAL C-BAS S6005-Y20R,Farg,Liter,0.68,0,242.56,0,A195,2023-12-29T13:09:13.000Z,2025-03-27T10:01:57.000Z,2025-03-27T10:01:57.000Z
13,2023-08-21,Lasses EL AB,VP-Rör 16mm,VP Ror,M,33,0,196.43,0,A211,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
14,2023-09-08,Happy Homes,"SPRAYFÄRG, T&S LACK MA",Farg,St,2,0,207.36,0,A233,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
15,2023-09-15,Happy Homes,Lackfärgsgrund Beckers S0500-N,Farg,Liter,2.7,0,497.2,0,A255,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
16,2023-09-15,Happy Homes,"SPRAYFÄRG, T&S VIT MAT",Farg,St,2,0,194.4,0,A255,2023-12-29T13:09:13.000Z,2024-01-06T15:44:15.000Z,2024-01-06T15:44:15.000Z
